bank_deposit_id,deposit_amount,deposit_date,deposit_memo,reason,decision_source,created_by_user_id,note,qbo_accounts,qbo_payers,qbo_evidence
"bdep_19ce3d08896e9add231a4392","118363.19","2026-07-09T00:00:00.000Z","ONLINE TRANSFER JUNE 26 OPEX DRAW 1 REF #BB0YVGT8FZ","other","human","usr_matthew_kramer","","","",""
"bdep_3801be9e4b9c7a3fae043acb","65.62","2026-07-07T00:00:00.000Z","GUSTO PAYROLL    TAX 832906 260707 6seml615btc     The Wildflower Foundat","tax_refund","human","usr_matthew_kramer","","","",""
"bdep_407a639e58ae91874f7010da","3945.85","2025-08-04T00:00:00.000Z","DC WILDFLOWER PU EFT PYMT   080125 Charter School  The Wildflower Foundat","earned_income","human","usr_matthew_kramer","","","",""
"bdep_4ac3e77cdc2af573c31b7933","300000.00","2026-07-14T00:00:00.000Z","TRANSFER FROM BRK ****9888 REF# 632826369","intercompany_transfer","human","usr_matthew_kramer","","","",""
"bdep_5d9bb719bbab1b2288d234d0","200000.00","2026-02-27T00:00:00.000Z","TRANSFER FROM BRK ****9888 REF# 615328531","intercompany_transfer","human","usr_matthew_kramer","","1004 BROKERAGE","","[{""source"":""bank_deposit_qbo_register"",""id"":""bdqr_bdep_5d9bb719bbab1b2288d234d0"",""bank_transaction_id"":""bnk_28c7af574403110730e32cd7"",""amount"":""200000.00"",""txn_date"":""2026-02-27T00:00:00.000Z"",""txn_type"":""Transfer"",""accounts"":[""1004 BROKERAGE""],""memo"":""Transfer to operations account"",""reconciliation_status"":""Reconciled""}]"
"bdep_6a7405fd4827423d2b08bfae","300000.00","2026-07-01T00:00:00.000Z","TRANSFER FROM BRK ****9888 REF# 631507914","intercompany_transfer","human","usr_matthew_kramer","","","",""
"bdep_74316e836ba3ba6ec162dc7a","400000.00","2026-02-04T00:00:00.000Z","TRANSFER FROM BRK ****9888 REF# 612560826","intercompany_transfer","human","usr_matthew_kramer","","1004 BROKERAGE","","[{""source"":""bank_deposit_qbo_register"",""id"":""bdqr_bdep_74316e836ba3ba6ec162dc7a"",""bank_transaction_id"":""bnk_bc38330cb8850f20bc75cf77"",""amount"":""400000.00"",""txn_date"":""2026-02-04T00:00:00.000Z"",""txn_type"":""Transfer"",""accounts"":[""1004 BROKERAGE""],""memo"":""Transfer to monthly operations"",""reconciliation_status"":""Reconciled""}]"
"bdep_83a68fcfd4b16e1c422a3c1f","3945.85","2025-08-11T00:00:00.000Z","DC WILDFLOWER PU EFT PYMT   080825 Charter School  The Wildflower Foundat","earned_income","human","usr_matthew_kramer","","","",""
"bdep_846fac1e59f2d2c4b12f5e07","122687.35","2026-07-15T00:00:00.000Z","ONLINE TRANSFER JUNE OPEX 2 BUT DRAW WAS FOR 126K  REF #BB0YXLPK8T","other","human","usr_matthew_kramer","","","",""
"bdep_9758432a6823e4d50e53ceeb","6000.00","2025-08-12T00:00:00.000Z","Bill.com         VoidPaymnt        015JZQHXBALYR7T Center for Guided Montessori Studies Bill.com 01","expense_refund","human","usr_matthew_kramer","","","","[{""source"":""bank_deposit_qbo_register"",""id"":""bdqr_bdep_9758432a6823e4d50e53ceeb"",""bank_transaction_id"":""bnk_846cbe85e5d2b7a8afe30873"",""amount"":""6000.00"",""txn_date"":""2025-08-12T00:00:00.000Z"",""txn_type"":""Journal"",""ref_no"":""BILL.com 08/12/25 CR"",""memo"":""BILL 08/12/25 Credit P25050801 - 0877632"",""reconciliation_status"":""Reconciled""}]"
