review_status,decision_kind,old_bank_deposit_id,new_bank_deposit_id,deposit_date,amount,memo,prior_reason,prior_note,owner_exclusion_reason,owner_inclusion_descriptor
CONFLICT_prior_excluded_owner_included,deposit_exclusion,bdep_19ce3d08896e9add231a4392,bdep_9fb7909f012351c1a4e19a85,7/9/2026,118363.19,ONLINE TRANSFER JUNE 26 OPEX DRAW 1 REF #BB0YVGT8FZ,other,,,CSP
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_4ac3e77cdc2af573c31b7933,bdep_5c19f9ac0ddc2eb9ebd5cd4a,7/14/2026,300000,TRANSFER FROM BRK ****9888 REF# 632826369,intercompany_transfer,,,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_5d9bb719bbab1b2288d234d0,bdep_6ed0e818b0e3a23333ace402,2/27/2026,200000,TRANSFER FROM BRK ****9888 REF# 615328531,intercompany_transfer,,,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_6a7405fd4827423d2b08bfae,bdep_8de2c318df96517a3ccfb58f,7/1/2026,300000,TRANSFER FROM BRK ****9888 REF# 631507914,intercompany_transfer,,,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_74316e836ba3ba6ec162dc7a,bdep_1d93710773a86349cb0556e9,2/4/2026,400000,TRANSFER FROM BRK ****9888 REF# 612560826,intercompany_transfer,,,
CONFLICT_prior_excluded_owner_included,deposit_exclusion,bdep_846fac1e59f2d2c4b12f5e07,bdep_215b89b57dd6601991a5fbd1,7/15/2026,122687.35,ONLINE TRANSFER JUNE OPEX 2 BUT DRAW WAS FOR 126K  REF #BB0YXLPK8T,other,,,CSP
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_ca687dcc605158617b885db6,bdep_4943a8fa49e5ae5a1c8cb74c,5/5/2026,200000,TRANSFER FROM BRK ****9888 REF# 624290930,intercompany_transfer,,,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_de9d92882fa6811435cf7ec2,bdep_cb76bed00cb1e12de189d5bc,12/17/2025,200000,TRANSFER FROM BRK ****9888 REF# 606495171,intercompany_transfer,,,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_00b1e2cb7719cfcffde234c5,bdep_3502aa4b2a97ca6fc0ef49f2,3/3/2025,250000,TRANSFER FROM BRK ****9888 REF# 569101398,intercompany_transfer,"reviewed: componentless deposit, all QB accounts non-donation (0185)",,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_01b3b9e255d78cb56748cd8b,bdep_256d467cb713a83c7972ec4c,6/4/2020,2036.69,STRIPE           TRANSFER          ST-R1M4R6I3G6H5 THE WILDFLOWER FOUNDAT,earned_income,"reviewed: componentless deposit, all QB accounts non-donation (0185)",,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_02632aa654d8d1723ef8e44f,bdep_00bbf75f786438ec96f95156,7/17/2019,970.4,STRIPE           TRANSFER          ST-E4M2K5V8O7K2 THE WILDFLOWER FOUNDAT,earned_income,"reviewed: componentless deposit, all QB accounts non-donation (0185)",,
UNCATEGORIZED_prior_exclusion_not_reapplied,deposit_exclusion,bdep_03989bf5dc2d1cad60b7815c,bdep_d6db783fd924447f6e5130a3,11/19/2018,17.18,STRIPE           TRANSFER                          X 201811192,earned_income,"reviewed: componentless deposit, all QB accounts non-donation (0185)",,
