cluster_date,payee,rows,cluster_sum,status,matched_bank_deposit_id,matched_deposit_date,matched_deposit_memo,register_rows
2017-10-31,expensify,2,1.33,no_deposit_match,,,,"[{""id"": ""bnk_67b2d7d9ca1315f18aa1416a"", ""amount"": 0.85, ""ref"": """", ""memo"": ""Expensify, Inc. Validation XXXXXX8945 The Wildflower Foundat"", ""tied"": ""false""}, {""id"": ""bnk_85838d1d7dce41a9e3a4fe88"", ""amount"": 0.48, ""ref"": """", ""memo"": ""Expensify, Inc. Validation XXXXXX8945 The Wildflower Foundat"", ""tied"": ""false""}]"
2018-09-06,strategic grant partners,2,325000.00,no_deposit_match,,,,"[{""id"": ""bnk_00131128bdef8fd2c7bee604"", ""amount"": 300000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_2c81a4c08fe3508073012685"", ""amount"": 25000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2018-10-03,loan - aster,2,3588.00,no_deposit_match,,,,"[{""id"": ""bnk_6f61473e93a33506af09f5d5"", ""amount"": 1794.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_bd3fcd12397d859b0c525e59"", ""amount"": 1794.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-02-26,sep kamvar,2,67031.70,no_deposit_match,,,,"[{""id"": ""bnk_3261a0e0d5fcb854e868ecf2"", ""amount"": 52031.7, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_86fe0fc84bc2ddd798ea04c6"", ""amount"": 15000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-03-06,due from employees,5,8.50,no_deposit_match,,,,"[{""id"": ""bnk_196934caa47f4631a553b3e3"", ""amount"": 2.25, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_5a4bf968afa11dad0431f02c"", ""amount"": 2.25, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_88b956c3f39221ea44ad4e33"", ""amount"": 0.75, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_c9699b69b4946b2cc1bf53c6"", ""amount"": 2.25, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_fdb93571f4ef217df1208c28"", ""amount"": 1.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-04-11,theodore quinn_,2,1099.84,no_deposit_match,,,,"[{""id"": ""bnk_3bff0ed46c2a8d6876f79b64"", ""amount"": 408.81, ""ref"": """", ""memo"": ""\u2022\tthe 2nd is for an expense that he was reimbursed for but was refunded"", ""tied"": ""false""}, {""id"": ""bnk_da0400841186e1c3ab0b89d8"", ""amount"": 691.03, ""ref"": """", ""memo"": ""\u2022\tOne repays his duplicate reimbursement"", ""tied"": ""false""}]"
2019-04-29,loan - aster,2,2778.00,no_deposit_match,,,,"[{""id"": ""bnk_042b0e6cfb59a4acfd229b53"", ""amount"": 984.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_6fa98ac5df87a65d33aa029d"", ""amount"": 1794.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-06-17,loan - aster,2,1412.00,matches_open_deposit,bdep_ec0271ad6099fe81dbfdfd86,2019-06-17,ASTER MONTESSORI LOAN                              Wildflower Foundation,"[{""id"": ""bnk_0f92e9565ca1fa55f0e70f5f"", ""amount"": 706.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_a584ce3089f0a8f73cc44ae1"", ""amount"": 706.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-08-05,wend ventures,4,3000000.00,matches_open_deposit,bdep_93ddc693b41b4738f57b8436,2019-08-05,WALTON FAM FDN   GRANTS            66279           GRANT 2018-817,"[{""id"": ""bnk_4f967986e28e371b2f470de5"", ""amount"": 1750000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_50bdce20d9d951efa14e38d0"", ""amount"": 250000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_b7e8a32fa63e1ac3aea7e1df"", ""amount"": 850000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_dc3b59b04f4d098db123c60a"", ""amount"": 150000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-08-26,walton draw down,8,325000.00,matches_open_deposit,bdep_84c84fda12f6cd9286624243,2019-08-26,WALTON FAM FDN   GRANTS            66486           GRANT 2018-1008,"[{""id"": ""bnk_2dca6f0182dd99b04cc0f44a"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_41ac1a82791d1713dd8d932e"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_42f9d9300adfb107e731d7a2"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_4f1c146720ed87990631b5e4"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_7426030ebabe69c0c90ade69"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_90a40bdae199ea05ef6535f6"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_9619a8ee3c8677af9f062885"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_bb2b23cb947d60eb2b12a896"", ""amount"": 40625.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
