old_bank_transaction_id,old_bank_deposit_id,new_bank_transaction_id,new_bank_deposit_id,collapsed,txn_date,deposit,memo
"bnk_00276ae7db965667f15fc62c","bdep_00276ae7db965667f15fc62c","bnk_eff1d1b3e5d38da5e5c1d15a","bdep_eff1d1b3e5d38da5e5c1d15a","false","2019-11-27","1404.00","INTUIT PYMT SOLN DEPOSIT    191127 524771997507722 THE WILDFLOWER FOUNDAT"
"bnk_00388e4408102f8ee497957b","bdep_00388e4408102f8ee497957b","bnk_728cf5b1373839bcb6689e81","bdep_728cf5b1373839bcb6689e81","false","2019-03-08","1877.78","INTUIT PYMT SOLN DEPOSIT    190308 524771997507722 THE WILDFLOWER FOUNDAT"
"bnk_0061e4c4c417489338bdcbce","bdep_0061e4c4c417489338bdcbce","bnk_db7318329a4f1c8a3721d328","bdep_db7318329a4f1c8a3721d328","false","2025-10-31","5013.57","ATM CHECK DEPOSIT              ON              10/31 4712 Chicago Ave          Minneapolis   MN  0006503           ATM ID 5819T    CARD 0628"
"bnk_00a8c25189e5237187b3146e","bdep_00a8c25189e5237187b3146e","bnk_196f52f4b39696da97af9347","bdep_196f52f4b39696da97af9347","false","2021-01-08","81000.00","ATM CHECK DEPOSIT              ON              01/08 1505 WEST LAKE ST         Minneapolis   MN  0002674           ATM ID 6991J    CARD 7365"
"bnk_599fc6dece1d0e8fb1595bd0","bdep_599fc6dece1d0e8fb1595bd0","bnk_196f52f4b39696da97af9347","bdep_196f52f4b39696da97af9347","true","2021-01-08","81000.00","ATM CHECK DEPOSIT              ON              01/08 1505 WEST LAKE ST         Minneapolis   MN  0002674           ATM ID 6991J    CARD 7365"
"bnk_a9a2b1d0172360ec16ba9450","bdep_a9a2b1d0172360ec16ba9450","bnk_196f52f4b39696da97af9347","bdep_196f52f4b39696da97af9347","true","2021-01-08","81000.00","ATM CHECK DEPOSIT              ON              01/08 1505 WEST LAKE ST         Minneapolis   MN  0002674           ATM ID 6991J    CARD 7365"
"bnk_00b1e2cb7719cfcffde234c5","bdep_00b1e2cb7719cfcffde234c5","bnk_3502aa4b2a97ca6fc0ef49f2","bdep_3502aa4b2a97ca6fc0ef49f2","false","2025-03-03","250000.00","TRANSFER FROM BRK ****9888 REF# 569101398"
"bnk_01600aa855faded33d0823d6","bdep_01600aa855faded33d0823d6","bnk_b03d4187a60aef6417e84e51","bdep_b03d4187a60aef6417e84e51","false","2019-12-10","55000.00","ATM CHECK DEPOSIT              ON              12/10 1505 WEST LAKE ST         MINNEAPOLIS   MN  0003801           ATM ID 6991J    CARD 7365"
"bnk_abdacbfaeb9e8c4675310f6c","bdep_abdacbfaeb9e8c4675310f6c","bnk_b03d4187a60aef6417e84e51","bdep_b03d4187a60aef6417e84e51","true","2019-12-10","55000.00","ATM CHECK DEPOSIT              ON              12/10 1505 WEST LAKE ST         MINNEAPOLIS   MN  0003801           ATM ID 6991J    CARD 7365"
"bnk_016c4c55274cdbae48a17ead","bdep_016c4c55274cdbae48a17ead","bnk_34f1b1324f68a8f4cba8d2b5","bdep_34f1b1324f68a8f4cba8d2b5","false","2025-09-18","1347.33","Roxbury Roots Mo Receivable        016AMZEAU3V1LTN 016AMZEAU3V1LTN Roxbury Roots Mo Bill.com Inv 49"
