id,bank_deposit_id,bank_transaction_id,amount,deposit_date,txn_date,txn_type,ref_no,payee,memo,qb_posting,account,class,reconciliation_status,ambiguous
"bdqr_bdep_eff1d1b3e5d38da5e5c1d15a","bdep_eff1d1b3e5d38da5e5c1d15a","bnk_3039565d5ff54d32d3c3cb96","1404","2019-11-27","2019-11-26","Deposit","","Loan - Wild Rose","System-recorded deposit for QuickBooks Payments","","1501 Undeposited Funds","","Reconciled","false"
"bdqr_bdep_728cf5b1373839bcb6689e81","bdep_728cf5b1373839bcb6689e81","bnk_95df79977e9ca41bb88ee9a4","1877.78","2019-03-08","2019-03-07","Deposit","","","System-recorded deposit for QuickBooks Payments","","","","Reconciled","false"
"bdqr_bdep_8bca6f24157c6c254ee37ec9","bdep_8bca6f24157c6c254ee37ec9","bnk_8e549fd436e3114e667ca578","7431.66","2026-03-11","2026-03-11","Journal","JE CSP # Jan 35","","BILL 03/11/26 AR Payments","","","","Reconciled","false"
"bdqr_bdep_2579931319396e2085be3203","bdep_2579931319396e2085be3203","bnk_af7ed065a275c3661edd8c7e","625","2022-02-11","2022-02-11","Payment","","Loan - Cosmos","","","1503 Pledges/Services Receivable","","Reconciled","false"
"bdqr_bdep_4dfa662ce4e1c565c675259b","bdep_4dfa662ce4e1c565c675259b","bnk_fa20a6bf877c6a4b9cb14339","8825","2026-06-08","2026-06-08","Transfer","","","Transfer from CSP to Operating - CSP reimbursement","","TWF CSP Rep grant (1340) - 2","","Reconciled","false"
"bdqr_bdep_a24c3b7a8c5dd3071e20f4b2","bdep_a24c3b7a8c5dd3071e20f4b2","bnk_264ce0a3b564741bb65166d2","2212.5","2019-02-08","2019-02-07","Deposit","","","System-recorded deposit for QuickBooks Payments","","","","Reconciled","false"
"bdqr_bdep_45ffbcea1b7340e828e06d67","bdep_45ffbcea1b7340e828e06d67","bnk_e490facd9d5a7d3aa6a4cd96","112125.06","2026-03-13","2026-03-13","Transfer","","","Transfer from CSP account","","TWF CSP Rep grant (1340) - 2","","Reconciled","false"
"bdqr_bdep_67e8947e1e1872642eb305bd","bdep_67e8947e1e1872642eb305bd","bnk_79c00203ca54594080580a9a","34341.6","2021-12-10","2021-12-10","Payment","","DC Wildflower Public Charter School","","","1500 Accounts Receivable (A/R)","","Reconciled","false"
"bdqr_bdep_cf1dae37b214d95eb02f2d45","bdep_cf1dae37b214d95eb02f2d45","bnk_13666a44ce01da5117b34879","35000","2019-01-24","2019-01-24","Payment","","The Mind Trust","","","1503 Pledges/Services Receivable","","Reconciled","false"
"bdqr_bdep_8c21a9bff950e29ca65960e9","bdep_8c21a9bff950e29ca65960e9","bnk_bdbc92d4033a53724f070e0e","49875.08","2025-04-14","2025-04-14","Journal","tfr from CSP to ckg","","","","","","Reconciled","false"
