stripe_payout_id,bank_deposit_id,amount,currency,arrival_date,deposit_date,ambiguous_bank_match,payer_name
"po_1DTfQIAhXr9x8yiRyVRJfDU7","bdep_df1595eaf82bb29fb84cd035","2.61","USD","2018-11-07","2018-11-08","false",""
"po_1DYQRyAhXr9x8yiRRjO05ZsG","bdep_168117889655feef2b70c303","25.08","USD","2018-11-20","2018-11-21","false",""
"po_1DgOB7AhXr9x8yiR6TA9DUWv","bdep_aa9a2cb474a25e6963fd5894","4.97","USD","2018-12-12","2018-12-13","false",""
"po_1DnzoMAhXr9x8yiRWevOaj5Y","bdep_ad26415d071ae56cf86b1490","5015.5","USD","2019-01-02","2019-01-03","false",""
"po_1FYmR3AhXr9x8yiRdbRgODNb","bdep_0a05da3da157ae3e9cfce90c","72.52","USD","2019-10-29","2019-10-30","false",""
"po_1FloeqAhXr9x8yiRbcQ215Pr","bdep_f5a3f741ec66345060f6f951","96.8","USD","2019-12-04","2019-12-05","false",""
"po_1Fvw3nAhXr9x8yiRSAzagv77","bdep_7a2e8d1007a9331fbfece64d","970.7","USD","2020-01-01","2020-01-02","false",""
"po_1GDMfWAhXr9x8yiRq0YRdPor","bdep_bf80636ed8fe195b7fba7635","25.13","USD","2020-02-18","2020-02-19","false",""
"po_1GPfFOAhXr9x8yiR53mKWisK","bdep_1938597dfb89defeecab8ce5","5.03","USD","2020-03-23","2020-03-24","false",""
"po_1GSYlwAhXr9x8yiRiAAFdQZw","bdep_b398893a6bb00c8ad323d715","35.18","USD","2020-03-31","2020-04-01","false",""
"po_1GSvvyAhXr9x8yiRvtpw2ICC","bdep_51ed2514d8242b30368f4f05","50.26","USD","2020-04-01","2020-04-02","false",""
"po_1GUjuGAhXr9x8yiRPPDHAvs9","bdep_71d795172dfc764f2a529437","60.31","USD","2020-04-06","2020-04-07","false",""
"po_1GXduUAhXr9x8yiRjJXpD8ND","bdep_e3b8984705cd2ff5ad7694ef","48.25","USD","2020-04-14","2020-04-15","false",""
"po_1GaBffAhXr9x8yiRXaS9qVP1","bdep_0a22ec805e9680733650ccb1","485.2","USD","2020-04-21","2020-04-22","false",""
"po_1GaXy7AhXr9x8yiRU4Qof69l","bdep_f614ed3490e90b47130e064b","5025.88","USD","2020-04-22","2020-04-23","false",""
"po_1GsJI6AhXr9x8yiRIJu49HRr","bdep_b045cc113b95db03511eb5a7","502.59","USD","2020-06-10","2020-06-11","false",""
"po_1GuqqFAhXr9x8yiRjWA50JGQ","bdep_90456f0be030a385bbb1def4","485.2","USD","2020-06-17","2020-06-18","false",""
"po_1HBWLpAhXr9x8yiRl80TfMxS","bdep_6a096e75489f7d9854451ca8","119.13","USD","2020-08-02","2020-08-03","false",""
"po_1HQkPGAhXr9x8yiR19YgI5pr","bdep_531dec06c792e728f9a2042b","124.09","USD","2020-09-13","2020-09-14","false",""
"po_1HU0hKAhXr9x8yiRs9pJnXWL","bdep_be2eb9808d1b10c96eeaa527","191.5","USD","2020-09-22","2020-09-23","false",""
"po_1His2vAhXr9x8yiRrZWfatyZ","bdep_a8e3cf9f6fa5dde9c7b5b860","99.27","USD","2020-11-02","2020-11-03","false",""
"po_1HjbR6AhXr9x8yiRzMxCWtDK","bdep_f9d764f20d1b947e8836892f","99.27","USD","2020-11-04","2020-11-05","false",""
"po_1HoJrjAhXr9x8yiRYSWv6QIu","bdep_a90739e44dca4774ba6e231d","479.2","USD","2020-11-17","2020-11-18","false",""
"po_1HsedHAhXr9x8yiR7JhSdjpG","bdep_f85a91eb28c9731ea0f4f188","2.57","USD","2020-11-29","2020-11-30","false",""
"po_1HtOhoAhXr9x8yiRmHh0t5HL","bdep_e12dbd62f23fc0200bff3f52","120.42","USD","2020-12-01","2020-12-02","false",""
"po_1HtksDAhXr9x8yiRBvXA8Nlt","bdep_269fbde415576c4fc740edeb","3199.32","USD","2020-12-02","2020-12-03","false",""
"po_1Hu6g7AhXr9x8yiRXg76I3oy","bdep_6aa880e43bf5bb418028e0ca","940.06","USD","2020-12-03","2020-12-04","false",""
"po_1HvuewAhXr9x8yiRzoIptzyJ","bdep_1873e581e2c8ae90be73148d","125","USD","2020-12-08","2020-12-09","false",""
"po_1HvvsaAhXr9x8yiRt6iAEdBq","bdep_cb0e5156124f1f533aed863f","248.19","USD","2020-12-08","2020-12-09","false",""
"po_1HwHQPAhXr9x8yiRGaIiY5wY","bdep_1ddd7c8430a70870973d4cd2","271.86","USD","2020-12-09","2020-12-10","false",""
"po_1I10aWAhXr9x8yiRlFU9Xg67","bdep_cabe7742ee31f6ecdee5fba0","496.38","USD","2020-12-22","2020-12-23","false",""
"po_1I1M8UAhXr9x8yiRtITT7LoX","bdep_44025274156b01d27ae4707b","479.2","USD","2020-12-23","2020-12-24","false",""
"po_1I3uNRAhXr9x8yiR4sP47keF","bdep_a34ef9128e93c2344376d5bf","99.27","USD","2020-12-30","2020-12-31","false",""
